instance_id,n_nodes,original_edges,kept_edges,tour_edges,tour_edges_kept,recall,success,sparsity,min_degree,mean_degree,max_degree
94,355,980,417,325.0,281.0,0.8646153846153846,False,0.42551020408163265,2,2.3492958545684814,4
95,294,809,343,264.0,236.0,0.8939393939393939,False,0.42398022249690975,2,2.3333332538604736,4
96,44,124,51,39.0,38.0,0.9743589743589743,False,0.4112903225806452,2,2.3181817531585693,4
97,351,975,410,324.0,279.0,0.8611111111111112,False,0.4205128205128205,2,2.3361823558807373,4
98,369,1024,433,327.0,298.0,0.9113149847094801,False,0.4228515625,2,2.346883535385132,4
99,373,1042,441,339.0,288.0,0.8495575221238938,False,0.42322456813819576,2,2.3646111488342285,4
100,5,10,6,5.0,4.0,0.8,False,0.6,2,2.4000000953674316,3
101,231,647,271,215.0,179.0,0.8325581395348837,False,0.4188562596599691,2,2.346320390701294,4
102,176,492,208,159.0,141.0,0.8867924528301887,False,0.42276422764227645,2,2.3636362552642822,4
103,399,1099,474,370.0,309.0,0.8351351351351352,False,0.4313011828935396,2,2.3759398460388184,4
104,6,15,7,6.0,4.0,0.6666666666666666,False,0.4666666666666667,2,2.3333332538604736,3
105,84,229,99,79.0,69.0,0.8734177215189873,False,0.43231441048034935,2,2.357142925262451,4
106,85,229,99,77.0,66.0,0.8571428571428571,False,0.43231441048034935,2,2.329411745071411,4
107,47,138,53,45.0,34.0,0.7555555555555555,False,0.38405797101449274,2,2.255319118499756,3
108,53,150,61,49.0,39.0,0.7959183673469388,False,0.4066666666666667,2,2.301886796951294,4
109,431,1208,506,403.0,345.0,0.8560794044665012,False,0.41887417218543044,2,2.3480279445648193,4
110,258,720,301,236.0,204.0,0.864406779661017,False,0.41805555555555557,2,2.3333332538604736,4
111,292,803,342,263.0,234.0,0.8897338403041825,False,0.4259028642590286,2,2.34246563911438,5
112,342,942,404,317.0,274.0,0.8643533123028391,False,0.4288747346072187,2,2.3625731468200684,4
113,63,177,75,55.0,46.0,0.8363636363636363,False,0.423728813559322,2,2.3809523582458496,5
114,300,832,355,274.0,234.0,0.8540145985401459,False,0.4266826923076923,2,2.366666555404663,4
115,385,1060,452,354.0,307.0,0.867231638418079,False,0.42641509433962266,2,2.3480520248413086,4
116,188,521,215,172.0,152.0,0.8837209302325582,False,0.4126679462571977,2,2.28723406791687,4
117,42,117,48,38.0,35.0,0.9210526315789473,False,0.41025641025641024,2,2.2857143878936768,4
118,45,130,52,40.0,35.0,0.875,False,0.4,2,2.3111112117767334,4
119,481,1328,564,440.0,383.0,0.8704545454545455,False,0.4246987951807229,2,2.345114231109619,5
120,444,1211,526,397.0,355.0,0.8942065491183879,False,0.4343517753922378,2,2.3693692684173584,5
121,493,1364,574,448.0,401.0,0.8950892857142857,False,0.4208211143695015,2,2.3286004066467285,4
122,86,240,100,78.0,65.0,0.8333333333333334,False,0.4166666666666667,2,2.3255813121795654,4
123,273,751,327,248.0,209.0,0.842741935483871,False,0.43541944074567246,2,2.395604372024536,5
124,163,454,195,152.0,129.0,0.8486842105263158,False,0.42951541850220265,2,2.3926379680633545,4
125,284,790,332,258.0,218.0,0.8449612403100775,False,0.42025316455696204,2,2.3380281925201416,4
126,36,101,43,33.0,26.0,0.7878787878787878,False,0.42574257425742573,2,2.3888888359069824,3
127,11,32,13,10.0,7.0,0.7,False,0.40625,2,2.3636362552642822,3
128,52,147,61,50.0,44.0,0.88,False,0.41496598639455784,2,2.346153736114502,4
129,196,544,237,178.0,154.0,0.8651685393258427,False,0.43566176470588236,2,2.418367385864258,4
130,3,3,3,3.0,3.0,1.0,True,1.0,2,2.0,2
131,519,1420,609,479.0,411.0,0.8580375782881002,False,0.4288732394366197,2,2.346820831298828,4
132,249,693,294,227.0,202.0,0.8898678414096917,False,0.42424242424242425,2,2.361445665359497,4
133,353,975,412,321.0,280.0,0.8722741433021807,False,0.42256410256410254,2,2.334277629852295,5
134,477,1325,550,442.0,379.0,0.8574660633484162,False,0.41509433962264153,2,2.306079626083374,4
135,285,790,333,257.0,222.0,0.8638132295719845,False,0.4215189873417722,2,2.3368420600891113,4
136,517,1425,602,482.0,425.0,0.8817427385892116,False,0.4224561403508772,2,2.32882022857666,5
137,11,33,12,10.0,7.0,0.7,False,0.36363636363636365,2,2.1818182468414307,3
138,266,739,319,242.0,205.0,0.8471074380165289,False,0.4316644113667118,2,2.398496150970459,4
139,87,244,103,80.0,67.0,0.8375,False,0.42213114754098363,2,2.367816209793091,4
140,448,1234,534,414.0,365.0,0.8816425120772947,False,0.4327390599675851,2,2.3839285373687744,4
141,68,191,80,64.0,55.0,0.859375,False,0.418848167539267,2,2.3529412746429443,4
142,301,835,351,274.0,234.0,0.8540145985401459,False,0.42035928143712575,2,2.332225799560547,5
143,255,708,302,232.0,197.0,0.8491379310344828,False,0.4265536723163842,2,2.3686275482177734,4
144,499,1382,579,462.0,399.0,0.8636363636363636,False,0.4189580318379161,2,2.320641279220581,4
145,78,221,95,74.0,58.0,0.7837837837837838,False,0.4298642533936652,2,2.4358973503112793,5
146,334,930,384,305.0,269.0,0.8819672131147541,False,0.4129032258064516,2,2.29940128326416,4
147,53,145,61,47.0,40.0,0.851063829787234,False,0.4206896551724138,2,2.301886796951294,4
148,528,1464,623,482.0,412.0,0.8547717842323651,False,0.4255464480874317,2,2.3598484992980957,5
149,476,1316,558,430.0,369.0,0.858139534883721,False,0.42401215805471126,2,2.3445377349853516,4
