graph,n,full_cost,full_runtime,edgegnn_cost,edgegnn_runtime,cascade_best_cost,cascade_best_runtime,cascade_best_factor
synthetic_100.tsp,17,43983.688041807596,0.03979086875915527,43983.688041807596,0.0061168670654296875,38861.845501611235,0.0033044815063476562,factor_0.02589
synthetic_1221.tsp,17,45170.42432974228,0.006781101226806641,45170.42432974228,0.005307912826538086,41619.35228852508,0.0034389495849609375,factor_0.03375
synthetic_863.tsp,17,43493.87631234112,0.009165048599243164,43493.87631234112,0.060117483139038086,43303.11947974691,0.0046844482421875,factor_0.03375
synthetic_296.tsp,17,40270.47890879779,0.006514310836791992,40270.47890879779,0.005682468414306641,39730.93968764789,0.003623485565185547,factor_0.02000
synthetic_1237.tsp,18,50552.44603685519,0.0067789554595947266,50552.44603685519,0.006721019744873047,47897.208806014074,0.049009084701538086,factor_0.02000
synthetic_1367.tsp,18,44815.50020358056,0.006509065628051758,44815.50020358056,0.02603626251220703,38908.34183680666,0.004679441452026367,factor_0.03375
synthetic_385.tsp,18,41605.51074942265,0.01704883575439453,41605.51074942265,0.007551908493041992,41605.51074942265,0.004953622817993164,factor_0.02000
synthetic_151.tsp,18,43325.36196061524,0.053238868713378906,43325.36196061524,0.0063190460205078125,40421.689284298634,0.052093505859375,factor_0.02589
synthetic_783.tsp,19,41851.85737628872,0.018569231033325195,41851.85737628872,0.007506370544433594,41354.57188138565,0.004626274108886719,factor_0.04160
synthetic_366.tsp,19,43761.75279728262,0.027113914489746094,43761.75279728262,0.007962226867675781,44532.39073818417,0.004953622817993164,factor_0.02000
synthetic_1334.tsp,19,41961.55970562688,0.007563352584838867,41961.55970562688,0.030585289001464844,44364.78421813972,0.005849123001098633,factor_0.02000
synthetic_1250.tsp,19,49818.83929024259,0.007842063903808594,49818.83929024259,0.11227655410766602,42619.199534494575,0.004346132278442383,factor_0.02000
synthetic_191.tsp,19,53285.8943174383,0.07690572738647461,53285.8943174383,0.007930517196655273,49872.28822470881,0.00580286979675293,factor_0.03375
synthetic_1482.tsp,19,42606.92056101608,0.00809788703918457,42606.92056101608,0.008415699005126953,47838.22579563282,0.004225492477416992,factor_0.04160
synthetic_107.tsp,20,40739.813084519075,0.00809168815612793,40739.813084519075,0.036717891693115234,42537.88914882996,0.008734464645385742,factor_0.02000
synthetic_108.tsp,20,48191.82544417049,0.08457517623901367,48191.82544417049,0.008401155471801758,42814.03661784182,0.0058116912841796875,factor_0.04160
synthetic_1217.tsp,20,43026.05463494006,0.029900312423706055,43026.05463494006,0.009438514709472656,39100.647590350265,0.005259037017822266,factor_0.02000
synthetic_1407.tsp,20,42606.23676262441,0.04963064193725586,42606.23676262441,0.00838470458984375,42186.50194240421,0.004565000534057617,factor_0.02000
synthetic_1303.tsp,20,44720.54626154338,0.06935596466064453,44720.54626154338,0.00583195686340332,44720.54626154338,0.0068280696868896484,factor_0.02000
synthetic_126.tsp,21,49357.133565438264,0.008496522903442383,49357.133565438264,0.05633258819580078,59659.167952864584,0.0035300254821777344,factor_0.28906
synthetic_174.tsp,23,50669.36107957886,0.05711030960083008,51996.36119242157,0.011804342269897461,51475.26753586001,0.0042841434478759766,factor_0.28906
synthetic_1189.tsp,25,47791.34300709744,0.015531539916992188,49319.05988279384,0.09228277206420898,70155.4356715967,0.003843069076538086,factor_0.28906
synthetic_20.tsp,25,61757.03215693635,0.013875722885131836,61793.48263250037,0.01314854621887207,61891.026902132886,0.004965305328369141,factor_0.28906
